entity,logs_listed,string_matches,logs_w_author,top_author,top_author_share,n_distinct_authors,proposed_player_dbref,confidence,relationship
Bourne,2,40,2,Morganna Tazecks,1.0,1,,high,ext_uploader:Morganna Tazecks
Feylin,2,40,2,Bazil McKenzie,0.5,2,9199,med,ext_uploader:Bazil McKenzie
Russel,2,39,2,Simone Drake,0.5,2,,med,ext_uploader:Simone Drake
Sinter,2,37,2,Gimel Daleth,1.0,1,,high,ext_uploader:Gimel Daleth
Whorus,2,37,2,Danik Kreldin,1.0,1,8061,high,ext_uploader:Danik Kreldin
Darth Venger,2,36,2,Geophreigh Smitherbodkins IV,0.5,2,,med,ext_uploader:Geophreigh Smitherbodkins IV
Shovadu,2,35,2,Raxis L'ygr,0.5,2,,med,ext_uploader:Raxis L'ygr
Ryder,2,35,2,Seifer Wolf,0.5,2,,med,ext_uploader:Seifer Wolf
Bruno,2,34,2,Inanna Jordain,0.5,2,,med,ext_uploader:Inanna Jordain
Coreen,2,32,2,Jessalyn Valios,1.0,1,3146,high,ext_uploader:Jessalyn Valios
Meissa,2,31,2,Geophreigh Smitherbodkins IV,1.0,1,,high,ext_uploader:Geophreigh Smitherbodkins IV
Shoburhynn,2,29,2,Tyy'sun Eson,0.5,2,3655,med,ext_uploader:Tyy'sun Eson
Merk,2,29,1,Ambrosia Delgard,1.0,1,4866,med,ext_uploader:Ambrosia Delgard
Loraiil,2,29,2,Bazil McKenzie,1.0,1,9199,high,ext_uploader:Bazil McKenzie
Munch,2,28,2,Billious Qarrack,0.5,2,,med,ext_uploader:Billious Qarrack
Toryn,2,27,2,Jessalyn Valios,1.0,1,3146,high,ext_uploader:Jessalyn Valios
Alder,2,27,2,Leia Organa Solo,0.5,2,3147,med,ext_uploader:Leia Organa Solo
Kyyiriiwur,2,23,2,Tyy'sun Eson,0.5,2,3655,med,ext_uploader:Tyy'sun Eson
Colin,2,23,2,Simon Sezirok,1.0,1,7077,high,ext_uploader:Simon Sezirok
Mitler,2,22,1,Raxis L'ygr,1.0,1,,med,ext_uploader:Raxis L'ygr
Lavender,2,21,2,Luke Skywalker,0.5,2,2043,med,ext_uploader:Luke Skywalker
Methos,2,21,2,Simone Drake,0.5,2,,med,ext_uploader:Simone Drake
Ressec,2,21,2,Tsaran Joir,1.0,1,,high,ext_uploader:Tsaran Joir
Toby,2,20,2,Bazil McKenzie,0.5,2,9199,med,ext_uploader:Bazil McKenzie
Reveal,2,20,2,Morganna Tazecks,1.0,1,,high,ext_uploader:Morganna Tazecks
Shintu,2,18,2,Gimel Daleth,1.0,1,,high,ext_uploader:Gimel Daleth
Ephant Mon,2,17,2,Ephant Mon,1.0,1,,high,self(player)
Fortune,2,16,2,Jonas,1.0,1,11782,high,ext_uploader:Jonas
Andra,2,15,2,Danik Kreldin,1.0,1,8061,high,ext_uploader:Danik Kreldin
Geroam,2,14,2,Bazil McKenzie,1.0,1,9199,high,ext_uploader:Bazil McKenzie
Rassa,2,12,2,Simone Drake,1.0,1,,high,ext_uploader:Simone Drake
Joworral,2,12,2,Antoine Dareus,1.0,1,,high,ext_uploader:Antoine Dareus
Imral,2,12,2,Zrak'Hroun,1.0,1,,high,ext_uploader:Zrak'Hroun
Crix Madine,2,11,2,Kyrin Sh'vani,0.5,2,9395,med,ext_uploader:Kyrin Sh'vani
Admiral Harkenson,2,11,2,Vextin Mandor,1.0,1,,high,ext_uploader:Vextin Mandor
Dracolysk,2,11,2,Morganna Tazecks,1.0,1,,high,ext_uploader:Morganna Tazecks
Sirlahn Inglet,2,8,2,Johanna Siri te Danaan,0.5,2,9407,med,ext_uploader:Johanna Siri te Danaan
Sidra,2,8,2,Simon Sezirok,1.0,1,7077,high,ext_uploader:Simon Sezirok
Kestryan du Bracc,2,7,2,Bazil McKenzie,1.0,1,9199,high,ext_uploader:Bazil McKenzie
