variant,player,dbref,db_type,source
Comdore Kay Serinoth,,,unresolved,two-part
Commander Calder,,,unresolved,two-part
Commodore Snunb,,,unresolved,two-part
Comwiz,,,unresolved,two-part
Cordelia Nivhya,,,unresolved,two-part
Coreen,,,unresolved,two-part
Corellian Commander,,,unresolved,two-part
Coreshan,,,unresolved,two-part
Corliss,,,unresolved,two-part
Cort Stasus,Cort,11999,player,token
Cortheon Jarrett,Cort,11999,player,full_name
Count Whaleface,,,unresolved,two-part
Coxswain,,,unresolved,two-part
Crestian,Crestian,5921,player,exact
Crestian Tarasar,Crestian,5921,player,full_name
Cricket,,8720,thing,exact-thing
Cricket McKenzie,,,unresolved,two-part
Crimson Lionheart,,,unresolved,two-part
Crimthan,,,unresolved,two-part
Crix Madine,,,unresolved,two-part
Crusader Command,,,unresolved,two-part
Crystal,,,unresolved,two-part
Crystal Keldahoff,,,unresolved,two-part
Cubitt Tethes,,,unresolved,two-part
Da'Shi,,,unresolved,two-part
Daana Roon,Daana,9683,player,full_name
Dagger 3,,,unresolved,two-part
Dagny Bryant,,,unresolved,two-part
Dagon,,,unresolved,two-part
Dak,,,unresolved,two-part
Dalek Rolynd,,,unresolved,two-part
